,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa
126,2011,26,129,23580379.02,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445
127,2012,26,122,18104598.15,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445
128,2013,26,111,15610136.43,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445
129,2003,27,6,162224.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
130,2004,27,10,849715.14,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
131,2005,27,25,682648.75,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
132,2006,27,21,1859770.66,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
133,2007,27,15,2038906.36,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
134,2008,27,16,1477331.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
135,2009,27,11,159000.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
136,2010,27,8,698555.08,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
137,2011,27,9,1547016.99,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
138,2012,27,7,1178000.0,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
139,2003,28,13,1967113.31,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
140,2004,28,15,4230387.47,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
141,2005,28,19,4451548.69,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
142,2006,28,21,1576900.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
143,2007,28,18,1065560.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
144,2008,28,19,2142526.59,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
145,2009,28,8,1401105.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
146,2010,28,9,1029839.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
147,2011,28,24,663986.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
148,2012,28,13,1081276.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
149,2013,28,7,526715.0,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
150,2003,29,127,10662327.93,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
151,2004,29,163,9241517.68,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
152,2005,29,218,19039820.22,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
153,2007,29,287,26206613.26,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
154,2008,29,242,19483683.924,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
155,2009,29,171,18212090.5,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
156,2010,29,220,19731866.57,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
157,2006,29,241,18320546.36,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
158,2011,29,333,16494931.76,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
159,2012,29,204,12773225.85,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
160,2013,29,190,11298782.25,BA,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
161,2003,31,333,44139927.77,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
162,2005,31,743,79991234.359,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
163,2006,31,835,103873117.01,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
164,2008,31,765,108650925.05,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
165,2009,31,690,89483276.97,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
166,2010,31,729,125932922.55,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
167,2004,31,497,51122452.183,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
168,2007,31,861,113151278.32,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
169,2011,31,825,127601435.44,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
170,2012,31,775,126983928.11,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
171,2013,31,824,120521642.55,MG,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
172,2003,32,30,704472.83,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
173,2004,32,24,2545503.23,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
174,2005,32,43,5347721.52,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
175,2006,32,34,9796238.82,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
176,2007,32,36,8886921.86,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
177,2008,32,32,7650131.71,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
178,2009,32,26,3499900.89,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
179,2010,32,57,13901170.01,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
180,2011,32,77,5899519.5,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
181,2012,32,46,7066045.53,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
182,2013,32,35,6853656.5,ES,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
183,2003,41,347,10980798.7,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
184,2005,41,353,17079250.92,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
185,2009,41,260,26067364.88,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
186,2010,41,295,37630315.42,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
187,2004,41,409,15132656.073,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
188,2006,41,394,21176172.91,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
189,2007,41,298,22022022.17,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
190,2008,41,286,33600600.52,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
191,2011,41,425,47013887.88,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
192,2012,41,374,48964637.5,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
193,2013,41,416,48736170.77,PR,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
194,2003,42,157,7492236.35,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
195,2006,42,262,11281764.08,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
